StockCode,Prediksi_Demand_AI_7Hari,Kontribusi_%,Kumulatif_%,Kategori_ABC,Safety_Stock_Rekomendasi,Rekomendasi_Total_Stok_Gudang
23309,8642,"0,22945%","22,5%",Kelas A (Fast-Moving),260,8901
23508,8506,"0,22585%","22,73%",Kelas A (Fast-Moving),260,8766
22993,8494,"0,22552%","22,96%",Kelas A (Fast-Moving),260,8753
21931,8454,"0,22446%","23,18%",Kelas A (Fast-Moving),260,8713
21213,8382,"0,22255%","23,4%",Kelas A (Fast-Moving),260,8641
84347,8268,"0,21953%","23,62%",Kelas A (Fast-Moving),260,8527
85099C,8247,"0,21897%","23,84%",Kelas A (Fast-Moving),260,8506
22866,8046,"0,21362%","24,05%",Kelas A (Fast-Moving),260,8305
21790,8035,"0,21334%","24,27%",Kelas A (Fast-Moving),260,8294
21326,7992,"0,21221%","24,48%",Kelas A (Fast-Moving),260,8252
23295,7833,"0,20798%","24,69%",Kelas A (Fast-Moving),260,8092
21137,7799,"0,20708%","24,9%",Kelas A (Fast-Moving),260,8058
20719,7753,"0,20586%","25,1%",Kelas A (Fast-Moving),260,8013
23367,7751,"0,2058%","25,31%",Kelas A (Fast-Moving),260,8010
84755,7638,"0,2028%","25,51%",Kelas A (Fast-Moving),260,7897
23506,7601,"0,20181%","25,71%",Kelas A (Fast-Moving),260,7860
21175,7544,"0,20031%","25,91%",Kelas A (Fast-Moving),260,7803
15036,7473,"0,19842%","26,11%",Kelas A (Fast-Moving),260,7732
23301,7439,"0,19751%","26,31%",Kelas A (Fast-Moving),260,7698
21703,7427,"0,19721%","26,51%",Kelas A (Fast-Moving),260,7687
22741,7396,"0,19638%","26,7%",Kelas A (Fast-Moving),260,7656
20713,7380,"0,19594%","26,9%",Kelas A (Fast-Moving),260,7639
22151,7366,"0,19558%","27,09%",Kelas A (Fast-Moving),260,7625
22867,7266,"0,19292%","27,29%",Kelas A (Fast-Moving),260,7525
22383,7239,"0,19221%","27,48%",Kelas A (Fast-Moving),260,7499
23439,7184,"0,19074%","27,67%",Kelas A (Fast-Moving),260,7443
23354,7173,"0,19044%","27,86%",Kelas A (Fast-Moving),260,7432
23318,7160,"0,19009%","28,05%",Kelas A (Fast-Moving),260,7419
84992,7159,"0,19007%","28,24%",Kelas A (Fast-Moving),260,7418
84945,7157,"0,19003%","28,43%",Kelas A (Fast-Moving),260,7416
20971,7121,"0,18906%","28,62%",Kelas A (Fast-Moving),260,7380
23353,7100,"0,18852%","28,81%",Kelas A (Fast-Moving),260,7360
84568,7059,"0,18742%","28,99%",Kelas A (Fast-Moving),260,7318
22630,7042,"0,18698%","29,18%",Kelas A (Fast-Moving),260,7302
84978,7039,"0,18689%","29,37%",Kelas A (Fast-Moving),260,7298
47566,6982,"0,18537%","29,55%",Kelas A (Fast-Moving),260,7241
22411,6981,"0,18536%","29,74%",Kelas A (Fast-Moving),260,7241
71459,6953,"0,18462%","29,92%",Kelas A (Fast-Moving),260,7213
20727,6936,"0,18417%","30,11%",Kelas A (Fast-Moving),260,7196
23499,6920,"0,18373%","30,29%",Kelas A (Fast-Moving),260,7179
23351,6836,"0,18149%","30,47%",Kelas A (Fast-Moving),260,7095
35970,6780,"0,18002%","30,65%",Kelas A (Fast-Moving),260,7039
22633,6771,"0,17978%","30,83%",Kelas A (Fast-Moving),260,7031
22579,6745,"0,17909%","31,01%",Kelas A (Fast-Moving),260,7004
22969,6703,"0,17798%","31,19%",Kelas A (Fast-Moving),260,6963
23319,6669,"0,17708%","31,37%",Kelas A (Fast-Moving),260,6929
21975,6640,"0,1763%","31,54%",Kelas A (Fast-Moving),260,6899
22988,6590,"0,17497%","31,72%",Kelas A (Fast-Moving),260,6849
22609,6582,"0,17475%","31,89%",Kelas A (Fast-Moving),260,6841
21080,6581,"0,17473%","32,07%",Kelas A (Fast-Moving),260,6840
22791,6581,"0,17472%","32,24%",Kelas A (Fast-Moving),260,6840
22423,6567,"0,17437%","32,42%",Kelas A (Fast-Moving),260,6827
22114,6548,"0,17387%","32,59%",Kelas A (Fast-Moving),260,6808
23200,6527,"0,17331%","32,76%",Kelas A (Fast-Moving),260,6787
23382,6515,"0,17298%","32,94%",Kelas A (Fast-Moving),260,6774
23076,6502,"0,17263%","33,11%",Kelas A (Fast-Moving),260,6761
20728,6491,"0,17235%","33,28%",Kelas A (Fast-Moving),260,6751
21498,6477,"0,17197%","33,45%",Kelas A (Fast-Moving),260,6736
21497,6465,"0,17166%","33,63%",Kelas A (Fast-Moving),260,6724
20712,6371,"0,16917%","33,8%",Kelas A (Fast-Moving),260,6631
23349,6365,"0,169%","33,96%",Kelas A (Fast-Moving),260,6624
22384,6347,"0,16851%","34,13%",Kelas A (Fast-Moving),260,6606
23245,6340,"0,16833%","34,3%",Kelas A (Fast-Moving),260,6599
23005,6333,"0,16815%","34,47%",Kelas A (Fast-Moving),260,6592
21915,6284,"0,16684%","34,64%",Kelas A (Fast-Moving),260,6543
20726,6269,"0,16644%","34,8%",Kelas A (Fast-Moving),260,6528
22632,6245,"0,1658%","34,97%",Kelas A (Fast-Moving),260,6504
21232,6226,"0,1653%","35,13%",Kelas A (Fast-Moving),260,6485
23296,6209,"0,16485%","35,3%",Kelas A (Fast-Moving),260,6468
23207,6196,"0,16451%","35,46%",Kelas A (Fast-Moving),260,6455
22382,6188,"0,16429%","35,63%",Kelas A (Fast-Moving),260,6447
22659,6129,"0,16272%","35,79%",Kelas A (Fast-Moving),260,6388
23300,6090,"0,16168%","35,95%",Kelas A (Fast-Moving),260,6349
22699,6050,"0,16062%","36,11%",Kelas A (Fast-Moving),260,6309
22077,6015,"0,15971%","36,27%",Kelas A (Fast-Moving),260,6275
22470,6006,"0,15947%","36,43%",Kelas A (Fast-Moving),260,6266
20723,5989,"0,15902%","36,59%",Kelas A (Fast-Moving),260,6248
21928,5977,"0,1587%","36,75%",Kelas A (Fast-Moving),260,6236
23366,5968,"0,15844%","36,91%",Kelas A (Fast-Moving),260,6227
23378,5952,"0,15802%","37,07%",Kelas A (Fast-Moving),260,6211
21914,5928,"0,1574%","37,22%",Kelas A (Fast-Moving),260,6187
82482,5917,"0,1571%","37,38%",Kelas A (Fast-Moving),260,6176
23298,5897,"0,15657%","37,54%",Kelas A (Fast-Moving),260,6156
23215,5877,"0,15603%","37,69%",Kelas A (Fast-Moving),260,6136
23368,5868,"0,1558%","37,85%",Kelas A (Fast-Moving),260,6127
22551,5843,"0,15513%","38,0%",Kelas A (Fast-Moving),260,6102
20975,5820,"0,15451%","38,16%",Kelas A (Fast-Moving),260,6079
22467,5817,"0,15445%","38,31%",Kelas A (Fast-Moving),260,6076
23204,5808,"0,15421%","38,47%",Kelas A (Fast-Moving),260,6067
21181,5806,"0,15415%","38,62%",Kelas A (Fast-Moving),260,6065
22356,5756,"0,15283%","38,77%",Kelas A (Fast-Moving),260,6015
22816,5679,"0,15079%","38,92%",Kelas A (Fast-Moving),260,5939
21929,5667,"0,15045%","39,07%",Kelas A (Fast-Moving),260,5926
22489,5665,"0,15041%","39,23%",Kelas A (Fast-Moving),260,5924
21704,5662,"0,15034%","39,38%",Kelas A (Fast-Moving),260,5922
21918,5658,"0,15022%","39,53%",Kelas A (Fast-Moving),260,5917
84947,5650,"0,15%","39,68%",Kelas A (Fast-Moving),260,5909
22599,5646,"0,14991%","39,83%",Kelas A (Fast-Moving),260,5905
79321,5639,"0,14973%","39,98%",Kelas A (Fast-Moving),260,5898
21891,5627,"0,14941%","40,12%",Kelas A (Fast-Moving),260,5887
23308,5546,"0,14724%","40,27%",Kelas A (Fast-Moving),260,5805
22326,5489,"0,14574%","40,42%",Kelas A (Fast-Moving),260,5748
21098,5488,"0,14572%","40,56%",Kelas A (Fast-Moving),260,5748
22385,5485,"0,14562%","40,71%",Kelas A (Fast-Moving),260,5744
23321,5460,"0,14496%","40,85%",Kelas A (Fast-Moving),260,5719
22560,5453,"0,14477%","41,0%",Kelas A (Fast-Moving),260,5712
23232,5432,"0,14422%","41,14%",Kelas A (Fast-Moving),260,5691
20972,5423,"0,14399%","41,29%",Kelas A (Fast-Moving),260,5682
22966,5391,"0,14313%","41,43%",Kelas A (Fast-Moving),260,5650
23284,5345,"0,14191%","41,57%",Kelas A (Fast-Moving),260,5604
23170,5338,"0,14171%","41,71%",Kelas A (Fast-Moving),260,5597
23208,5323,"0,14133%","41,86%",Kelas A (Fast-Moving),260,5582
21787,5298,"0,14067%","42,0%",Kelas A (Fast-Moving),260,5558
23500,5295,"0,14058%","42,14%",Kelas A (Fast-Moving),260,5554
82583,5290,"0,14045%","42,28%",Kelas A (Fast-Moving),260,5549
15034,5287,"0,14037%","42,42%",Kelas A (Fast-Moving),260,5546
22029,5217,"0,13851%","42,56%",Kelas A (Fast-Moving),260,5476
21733,5216,"0,13849%","42,69%",Kelas A (Fast-Moving),260,5475
22722,5203,"0,13813%","42,83%",Kelas A (Fast-Moving),260,5462
23434,5194,"0,1379%","42,97%",Kelas A (Fast-Moving),260,5453
22992,5192,"0,13785%","43,11%",Kelas A (Fast-Moving),260,5451
21982,5183,"0,13761%","43,25%",Kelas A (Fast-Moving),260,5442
22596,5166,"0,13716%","43,38%",Kelas A (Fast-Moving),260,5425
23376,5161,"0,13703%","43,52%",Kelas A (Fast-Moving),260,5420
22726,5132,"0,13625%","43,66%",Kelas A (Fast-Moving),260,5391
23504,5082,"0,13494%","43,79%",Kelas A (Fast-Moving),260,5341
22457,5075,"0,13473%","43,93%",Kelas A (Fast-Moving),260,5334
22554,5066,"0,1345%","44,06%",Kelas A (Fast-Moving),260,5325
22608,5062,"0,1344%","44,19%",Kelas A (Fast-Moving),260,5321
23480,5041,"0,13383%","44,33%",Kelas A (Fast-Moving),260,5300
22727,5031,"0,13357%","44,46%",Kelas A (Fast-Moving),260,5290
23103,5010,"0,13301%","44,6%",Kelas A (Fast-Moving),260,5269
22558,5007,"0,13295%","44,73%",Kelas A (Fast-Moving),260,5267
71477,5004,"0,13286%","44,86%",Kelas A (Fast-Moving),260,5263
23350,4983,"0,13229%","44,99%",Kelas A (Fast-Moving),260,5242
22595,4948,"0,13136%","45,12%",Kelas A (Fast-Moving),260,5207
22734,4935,"0,13103%","45,26%",Kelas A (Fast-Moving),260,5194
23370,4916,"0,13051%","45,39%",Kelas A (Fast-Moving),260,5175
22417,4913,"0,13043%","45,52%",Kelas A (Fast-Moving),260,5172
22144,4893,"0,12991%","45,65%",Kelas A (Fast-Moving),260,5152
23320,4865,"0,12917%","45,78%",Kelas A (Fast-Moving),260,5124
84692,4849,"0,12874%","45,9%",Kelas A (Fast-Moving),260,5108
22960,4837,"0,12844%","46,03%",Kelas A (Fast-Moving),260,5097
23507,4828,"0,12819%","46,16%",Kelas A (Fast-Moving),260,5088
22666,4818,"0,12793%","46,29%",Kelas A (Fast-Moving),260,5078
22142,4818,"0,12792%","46,42%",Kelas A (Fast-Moving),260,5077
23294,4802,"0,1275%","46,54%",Kelas A (Fast-Moving),260,5062
82494L,4800,"0,12743%","46,67%",Kelas A (Fast-Moving),260,5059
23171,4795,"0,12731%","46,8%",Kelas A (Fast-Moving),260,5054
23210,4793,"0,12726%","46,93%",Kelas A (Fast-Moving),260,5053
21819,4767,"0,12656%","47,05%",Kelas A (Fast-Moving),260,5026
23356,4762,"0,12643%","47,18%",Kelas A (Fast-Moving),260,5021
23311,4759,"0,12634%","47,31%",Kelas A (Fast-Moving),260,5018
21889,4733,"0,12567%","47,43%",Kelas A (Fast-Moving),260,4992
23445,4730,"0,12559%","47,56%",Kelas A (Fast-Moving),260,4989
22818,4723,"0,12539%","47,68%",Kelas A (Fast-Moving),260,4982
22951,4718,"0,12526%","47,81%",Kelas A (Fast-Moving),260,4977
21985,4697,"0,12471%","47,93%",Kelas A (Fast-Moving),260,4956
22720,4691,"0,12453%","48,06%",Kelas A (Fast-Moving),260,4950
21791,4683,"0,12434%","48,18%",Kelas A (Fast-Moving),260,4943
23240,4672,"0,12404%","48,31%",Kelas A (Fast-Moving),260,4931
23205,4669,"0,12396%","48,43%",Kelas A (Fast-Moving),260,4928
23313,4595,"0,12201%","48,55%",Kelas A (Fast-Moving),260,4855
23437,4563,"0,12114%","48,67%",Kelas A (Fast-Moving),260,4822
20973,4561,"0,12109%","48,79%",Kelas A (Fast-Moving),260,4820
23275,4532,"0,12032%","48,91%",Kelas A (Fast-Moving),260,4791
23263,4519,"0,11998%","49,03%",Kelas A (Fast-Moving),260,4778
21930,4505,"0,1196%","49,15%",Kelas A (Fast-Moving),260,4764
22112,4503,"0,11955%","49,27%",Kelas A (Fast-Moving),260,4762
22697,4500,"0,11949%","49,39%",Kelas A (Fast-Moving),260,4760
23078,4488,"0,11916%","49,51%",Kelas A (Fast-Moving),260,4747
22555,4435,"0,11774%","49,63%",Kelas A (Fast-Moving),260,4694
20992,4435,"0,11774%","49,75%",Kelas A (Fast-Moving),260,4694
21981,4399,"0,11678%","49,86%",Kelas A (Fast-Moving),260,4658
23501,4379,"0,11627%","49,98%",Kelas A (Fast-Moving),260,4638
22597,4338,"0,11518%","50,1%",Kelas A (Fast-Moving),260,4597
22418,4336,"0,11513%","50,21%",Kelas A (Fast-Moving),260,4596
23510,4321,"0,11472%","50,33%",Kelas A (Fast-Moving),260,4580
22561,4311,"0,11447%","50,44%",Kelas A (Fast-Moving),260,4571
23198,4306,"0,11432%","50,55%",Kelas A (Fast-Moving),260,4565
23328,4300,"0,11417%","50,67%",Kelas A (Fast-Moving),260,4559
22556,4277,"0,11355%","50,78%",Kelas A (Fast-Moving),260,4536
23352,4277,"0,11355%","50,9%",Kelas A (Fast-Moving),260,4536
22771,4261,"0,11313%","51,01%",Kelas A (Fast-Moving),260,4520
23231,4250,"0,11285%","51,12%",Kelas A (Fast-Moving),260,4510
22379,4218,"0,112%","51,23%",Kelas A (Fast-Moving),260,4478
22045,4215,"0,11192%","51,35%",Kelas A (Fast-Moving),260,4475
23581,4206,"0,11166%","51,46%",Kelas A (Fast-Moving),260,4465
23374,4192,"0,1113%","51,57%",Kelas A (Fast-Moving),260,4451
22621,4182,"0,11104%","51,68%",Kelas A (Fast-Moving),260,4441
23157,4173,"0,1108%","51,79%",Kelas A (Fast-Moving),260,4432
84596B,4157,"0,11037%","51,9%",Kelas A (Fast-Moving),260,4416
16216,4145,"0,11006%","52,01%",Kelas A (Fast-Moving),260,4405
22662,4144,"0,11002%","52,12%",Kelas A (Fast-Moving),260,4403
20914,4142,"0,10997%","52,23%",Kelas A (Fast-Moving),260,4401
22585,4135,"0,10977%","52,34%",Kelas A (Fast-Moving),260,4394
22601,4132,"0,10969%","52,45%",Kelas A (Fast-Moving),260,4391
23365,4107,"0,10904%","52,56%",Kelas A (Fast-Moving),260,4366
22698,4101,"0,10889%","52,67%",Kelas A (Fast-Moving),260,4360
23271,4081,"0,10834%","52,78%",Kelas A (Fast-Moving),260,4340
16218,4075,"0,10819%","52,88%",Kelas A (Fast-Moving),260,4334
23322,4072,"0,10812%","52,99%",Kelas A (Fast-Moving),260,4332
23243,4072,"0,1081%","53,1%",Kelas A (Fast-Moving),260,4331
23583,4069,"0,10803%","53,21%",Kelas A (Fast-Moving),260,4328
23188,4053,"0,1076%","53,32%",Kelas A (Fast-Moving),260,4312
21980,4033,"0,10707%","53,42%",Kelas A (Fast-Moving),260,4292
23399,4030,"0,107%","53,53%",Kelas A (Fast-Moving),260,4290
23334,4012,"0,10651%","53,64%",Kelas A (Fast-Moving),260,4271
21479,4007,"0,10639%","53,74%",Kelas A (Fast-Moving),260,4266
22620,3998,"0,10614%","53,85%",Kelas A (Fast-Moving),260,4257
22573,3995,"0,10606%","53,96%",Kelas A (Fast-Moving),260,4254
22991,3984,"0,10578%","54,06%",Kelas A (Fast-Moving),260,4243
84970S,3974,"0,10552%","54,17%",Kelas A (Fast-Moving),260,4234
22154,3971,"0,10544%","54,27%",Kelas A (Fast-Moving),260,4231
22996,3962,"0,10519%","54,38%",Kelas A (Fast-Moving),260,4221
22111,3947,"0,10478%","54,48%",Kelas A (Fast-Moving),260,4206
22141,3917,"0,10398%","54,59%",Kelas A (Fast-Moving),260,4176
23483,3913,"0,1039%","54,69%",Kelas A (Fast-Moving),260,4173
84836,3898,"0,1035%","54,79%",Kelas A (Fast-Moving),260,4158
84378,3894,"0,10338%","54,9%",Kelas A (Fast-Moving),260,4153
21818,3879,"0,10299%","55,0%",Kelas A (Fast-Moving),260,4138
21495,3862,"0,10252%","55,1%",Kelas A (Fast-Moving),260,4121
23582,3861,"0,10251%","55,2%",Kelas A (Fast-Moving),260,4120
23144,3852,"0,10227%","55,31%",Kelas A (Fast-Moving),260,4111
84380,3850,"0,1022%","55,41%",Kelas A (Fast-Moving),260,4109
23371,3843,"0,10202%","55,51%",Kelas A (Fast-Moving),260,4102
72741,3838,"0,10188%","55,61%",Kelas A (Fast-Moving),260,4097
21871,3827,"0,10161%","55,71%",Kelas A (Fast-Moving),260,4086
21231,3810,"0,10115%","55,82%",Kelas A (Fast-Moving),260,4069
22090,3803,"0,10097%","55,92%",Kelas A (Fast-Moving),260,4062
23379,3792,"0,10068%","56,02%",Kelas A (Fast-Moving),260,4052
23569,3791,"0,10065%","56,12%",Kelas A (Fast-Moving),260,4050
21166,3786,"0,10051%","56,22%",Kelas A (Fast-Moving),260,4045
22158,3781,"0,10038%","56,32%",Kelas A (Fast-Moving),260,4040
23551,3780,"0,10036%","56,42%",Kelas A (Fast-Moving),260,4039
22544,3774,"0,10019%","56,52%",Kelas A (Fast-Moving),260,4033
22138,3773,"0,10018%","56,62%",Kelas A (Fast-Moving),260,4033
84029E,3759,"0,09979%","56,72%",Kelas A (Fast-Moving),260,4018
21650,3744,"0,09941%","56,82%",Kelas A (Fast-Moving),260,4004
23332,3730,"0,09903%","56,92%",Kelas A (Fast-Moving),260,3989
22153,3712,"0,09856%","57,02%",Kelas A (Fast-Moving),260,3972
22661,3698,"0,09817%","57,11%",Kelas A (Fast-Moving),260,3957
85049A,3681,"0,09773%","57,21%",Kelas A (Fast-Moving),260,3940
21967,3670,"0,09743%","57,31%",Kelas A (Fast-Moving),260,3929
23346,3627,"0,09628%","57,41%",Kelas A (Fast-Moving),260,3886
23247,3626,"0,09627%","57,5%",Kelas A (Fast-Moving),260,3885
22983,3617,"0,09604%","57,6%",Kelas A (Fast-Moving),260,3877
16237,3608,"0,09578%","57,69%",Kelas A (Fast-Moving),260,3867
23212,3607,"0,09575%","57,79%",Kelas A (Fast-Moving),260,3866
51014A,3605,"0,09571%","57,89%",Kelas A (Fast-Moving),260,3864
23340,3602,"0,09563%","57,98%",Kelas A (Fast-Moving),260,3861
85152,3546,"0,09414%","58,08%",Kelas A (Fast-Moving),260,3805
21169,3533,"0,09379%","58,17%",Kelas A (Fast-Moving),260,3792
84988,3507,"0,09312%","58,26%",Kelas A (Fast-Moving),260,3767
21506,3503,"0,09301%","58,36%",Kelas A (Fast-Moving),260,3763
22189,3501,"0,09296%","58,45%",Kelas A (Fast-Moving),260,3761
22598,3498,"0,09287%","58,54%",Kelas A (Fast-Moving),260,3757
23438,3495,"0,09278%","58,63%",Kelas A (Fast-Moving),260,3754
21811,3491,"0,09267%","58,73%",Kelas A (Fast-Moving),260,3750
23192,3482,"0,09245%","58,82%",Kelas A (Fast-Moving),260,3741
22728,3480,"0,09238%","58,91%",Kelas A (Fast-Moving),260,3739
22945,3469,"0,0921%","59,0%",Kelas A (Fast-Moving),260,3728
22155,3468,"0,09207%","59,1%",Kelas A (Fast-Moving),260,3727
23372,3446,"0,0915%","59,19%",Kelas A (Fast-Moving),260,3706
23266,3439,"0,0913%","59,28%",Kelas A (Fast-Moving),260,3698
85150,3433,"0,09114%","59,37%",Kelas A (Fast-Moving),260,3692
22593,3431,"0,0911%","59,46%",Kelas A (Fast-Moving),260,3691
23436,3422,"0,09084%","59,55%",Kelas A (Fast-Moving),260,3681
21210,3421,"0,09083%","59,64%",Kelas A (Fast-Moving),260,3680
23264,3415,"0,09066%","59,73%",Kelas A (Fast-Moving),260,3674
23497,3390,"0,09001%","59,82%",Kelas A (Fast-Moving),260,3650
82580,3380,"0,08974%","59,91%",Kelas A (Fast-Moving),260,3639
22712,3369,"0,08945%","60,0%",Kelas A (Fast-Moving),260,3629
22294,3362,"0,08926%","60,09%",Kelas A (Fast-Moving),260,3621
23090,3357,"0,08913%","60,18%",Kelas A (Fast-Moving),260,3616
21833,3349,"0,0889%","60,27%",Kelas A (Fast-Moving),260,3608
23168,3346,"0,08883%","60,36%",Kelas A (Fast-Moving),260,3605
21094,3346,"0,08882%","60,45%",Kelas A (Fast-Moving),260,3605
23213,3322,"0,08819%","60,54%",Kelas A (Fast-Moving),260,3581
22557,3318,"0,08809%","60,62%",Kelas A (Fast-Moving),260,3577
23345,3309,"0,08785%","60,71%",Kelas A (Fast-Moving),260,3568
21877,3306,"0,08778%","60,8%",Kelas A (Fast-Moving),260,3566
21136,3305,"0,08774%","60,89%",Kelas A (Fast-Moving),260,3564
21916,3299,"0,08758%","60,97%",Kelas A (Fast-Moving),260,3558
22834,3292,"0,0874%","61,06%",Kelas A (Fast-Moving),260,3551
21642,3278,"0,08702%","61,15%",Kelas A (Fast-Moving),260,3537
75049L,3275,"0,08694%","61,24%",Kelas A (Fast-Moving),260,3534
22273,3270,"0,08682%","61,32%",Kelas A (Fast-Moving),260,3530
23380,3264,"0,08666%","61,41%",Kelas A (Fast-Moving),260,3523
22139,3263,"0,08662%","61,5%",Kelas A (Fast-Moving),260,3522
21499,3263,"0,08662%","61,58%",Kelas A (Fast-Moving),260,3522
22571,3259,"0,08654%","61,67%",Kelas A (Fast-Moving),260,3519
21976,3257,"0,08646%","61,76%",Kelas A (Fast-Moving),260,3516
22340,3254,"0,0864%","61,84%",Kelas A (Fast-Moving),260,3514
23234,3249,"0,08626%","61,93%",Kelas A (Fast-Moving),260,3508
22419,3248,"0,08622%","62,01%",Kelas A (Fast-Moving),260,3507
22900,3232,"0,0858%","62,1%",Kelas A (Fast-Moving),260,3491
22970,3190,"0,08469%","62,18%",Kelas A (Fast-Moving),260,3449
23211,3189,"0,08465%","62,27%",Kelas A (Fast-Moving),260,3448
16219,3188,"0,08464%","62,35%",Kelas A (Fast-Moving),260,3447
23166,3184,"0,08454%","62,44%",Kelas A (Fast-Moving),260,3444
84970L,3178,"0,08438%","62,52%",Kelas A (Fast-Moving),260,3438
23377,3175,"0,0843%","62,61%",Kelas A (Fast-Moving),260,3434
22534,3173,"0,08424%","62,69%",Kelas A (Fast-Moving),260,3432
23100,3153,"0,0837%","62,78%",Kelas A (Fast-Moving),260,3412
21485,3149,"0,08359%","62,86%",Kelas A (Fast-Moving),260,3408
20676,3131,"0,08313%","62,94%",Kelas A (Fast-Moving),260,3390
23101,3130,"0,08311%","63,03%",Kelas A (Fast-Moving),260,3390
23333,3126,"0,083%","63,11%",Kelas A (Fast-Moving),260,3386
22907,3107,"0,0825%","63,19%",Kelas A (Fast-Moving),260,3367
23331,3107,"0,08249%","63,27%",Kelas A (Fast-Moving),260,3366
22553,3106,"0,08246%","63,36%",Kelas A (Fast-Moving),260,3365
23230,3106,"0,08245%","63,44%",Kelas A (Fast-Moving),260,3365
23375,3094,"0,08214%","63,52%",Kelas A (Fast-Moving),260,3353
